s,a,s',reward,case,amount
"O_SELECTED,3,0,3,0,0",O_CREATED,"O_CREATED,3,0,3,0,0",0.0,1000,6000.0
"O_CREATED,3,0,3,0,0",O_SENT,"O_SENT,3,0,4,0,0",0.0,1000,6000.0
"O_SENT,3,0,4,0,0",W_Call_after_offer,"W_Call_after_offer,4,0,4,0,0",-2.83,1000,6000.0
"W_Call_after_offer,4,0,4,0,0",O_SENT_BACK,"O_SENT_BACK,4,0,4,1,0",0.0,1000,6000.0
"O_SENT_BACK,4,0,4,1,0",W_Assess_application,"W_Assess_application,4,0,4,1,0",-1.41,1000,6000.0
"W_Assess_application,4,0,4,1,0",W_Call_missing_information,"W_Call_missing_information,4,1,4,1,0",-11.5,1000,6000.0
"W_Call_missing_information,4,1,4,1,0",O_CANCELLED,"O_CANCELLED,4,1,4,1,0",0.0,1000,6000.0
"O_CANCELLED,4,1,4,1,0",O_SELECTED,"O_SELECTED,4,1,4,1,0",0.0,1000,6000.0
"O_SELECTED,4,1,4,1,0",O_CREATED,"O_CREATED,4,1,4,1,0",0.0,1000,6000.0
"O_CREATED,4,1,4,1,0",O_SENT,"O_SENT,4,1,5,1,0",0.0,1000,6000.0
"O_SENT,4,1,5,1,0",W_Call_after_offer,"W_Call_after_offer,5,1,5,1,0",-6.73,1000,6000.0
"W_Call_after_offer,5,1,5,1,0",O_ACCEPTED,"O_ACCEPTED,5,1,5,1,0",0.0,1000,6000.0
"O_ACCEPTED,5,1,5,1,0",A_APPROVED,"A_APPROVED,5,1,5,1,0",0.0,1000,6000.0
"A_APPROVED,5,1,5,1,0",A_REGISTERED,"A_REGISTERED,5,1,5,1,0",0.0,1000,6000.0
"A_REGISTERED,5,1,5,1,0",A_ACTIVATED,"A_ACTIVATED,5,1,5,1,0",0.0,1000,6000.0
"A_ACTIVATED,5,1,5,1,0",END,END,900.0,1000,6000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1001,23000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1001,23000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-1.13,1001,23000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,1001,23000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-2.1,1001,23000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,1001,23000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,1001,23000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,1001,23000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,1001,23000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,1001,23000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-3.03,1001,23000.0
"W_Call_after_offer,1,0,1,0,1",O_SELECTED,"O_SELECTED,1,0,1,0,1",0.0,1001,23000.0
"O_SELECTED,1,0,1,0,1",O_CREATED,"O_CREATED,1,0,1,0,1",0.0,1001,23000.0
"O_CREATED,1,0,1,0,1",O_SENT,"O_SENT,1,0,2,0,1",0.0,1001,23000.0
"O_SENT,1,0,2,0,1",W_Call_after_offer,"W_Call_after_offer,2,0,2,0,1",-23.74,1001,23000.0
"W_Call_after_offer,2,0,2,0,1",O_SENT_BACK,"O_SENT_BACK,2,0,2,1,1",0.0,1001,23000.0
"O_SENT_BACK,2,0,2,1,1",W_Assess_application,"W_Assess_application,2,0,2,1,1",-1.57,1001,23000.0
"W_Assess_application,2,0,2,1,1",END,END,0.0,1001,23000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1002,16000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1002,16000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-20.9,1002,16000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,1002,16000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-25.73,1002,16000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,1002,16000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,1002,16000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,1002,16000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,1002,16000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,1002,16000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-3.81,1002,16000.0
"W_Call_after_offer,1,0,1,0,1",END,END,0.0,1002,16000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1003,22000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1003,22000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,1003,22000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,1003,22000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1004,17000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1004,17000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-4.53,1004,17000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,1004,17000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-18.42,1004,17000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,1004,17000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,1004,17000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,1004,17000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,1004,17000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,1004,17000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-9.94,1004,17000.0
"W_Call_after_offer,1,0,1,0,1",O_DECLINED,"O_DECLINED,1,0,1,0,1",0.0,1004,17000.0
"O_DECLINED,1,0,1,0,1",A_DECLINED,"A_DECLINED,1,0,1,0,1",0.0,1004,17000.0
"A_DECLINED,1,0,1,0,1",END,END,0.0,1004,17000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1005,16000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1005,16000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_DECLINED,"A_DECLINED,0,0,0,0,0",0.0,1005,16000.0
"A_DECLINED,0,0,0,0,0",END,END,0.0,1005,16000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1006,27000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1006,27000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-15.71,1006,27000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,1",0.0,1006,27000.0
"A_PREACCEPTED,0,0,0,0,1",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,1",-17.53,1006,27000.0
"W_Complete_preaccepted_appl,0,0,0,0,1",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,1",0.0,1006,27000.0
"A_ACCEPTED,0,0,0,0,1",A_FINALIZED,"A_FINALIZED,0,0,0,0,1",0.0,1006,27000.0
"A_FINALIZED,0,0,0,0,1",O_SELECTED,"O_SELECTED,0,0,0,0,1",0.0,1006,27000.0
"O_SELECTED,0,0,0,0,1",O_CREATED,"O_CREATED,0,0,0,0,1",0.0,1006,27000.0
"O_CREATED,0,0,0,0,1",O_SENT,"O_SENT,0,0,1,0,1",0.0,1006,27000.0
"O_SENT,0,0,1,0,1",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,1",-8.74,1006,27000.0
"W_Call_after_offer,1,0,1,0,1",O_SELECTED,"O_SELECTED,1,0,1,0,1",0.0,1006,27000.0
"O_SELECTED,1,0,1,0,1",O_CREATED,"O_CREATED,1,0,1,0,1",0.0,1006,27000.0
"O_CREATED,1,0,1,0,1",O_SENT,"O_SENT,1,0,2,0,1",0.0,1006,27000.0
"O_SENT,1,0,2,0,1",W_Call_after_offer,"W_Call_after_offer,2,0,2,0,1",-15.2,1006,27000.0
"W_Call_after_offer,2,0,2,0,1",O_SELECTED,"O_SELECTED,2,0,2,0,1",0.0,1006,27000.0
"O_SELECTED,2,0,2,0,1",O_CREATED,"O_CREATED,2,0,2,0,1",0.0,1006,27000.0
"O_CREATED,2,0,2,0,1",O_SENT,"O_SENT,2,0,3,0,1",0.0,1006,27000.0
"O_SENT,2,0,3,0,1",W_Call_after_offer,"W_Call_after_offer,3,0,3,0,1",-7.52,1006,27000.0
"W_Call_after_offer,3,0,3,0,1",O_SENT_BACK,"O_SENT_BACK,3,0,3,1,1",0.0,1006,27000.0
"O_SENT_BACK,3,0,3,1,1",W_Assess_application,"W_Assess_application,3,0,3,1,1",-6.79,1006,27000.0
"W_Assess_application,3,0,3,1,1",W_Call_missing_information,"W_Call_missing_information,3,1,3,1,1",-24.07,1006,27000.0
"W_Call_missing_information,3,1,3,1,1",O_SELECTED,"O_SELECTED,3,1,3,1,1",0.0,1006,27000.0
"O_SELECTED,3,1,3,1,1",O_CREATED,"O_CREATED,3,1,3,1,1",0.0,1006,27000.0
"O_CREATED,3,1,3,1,1",O_SENT,"O_SENT,3,1,4,1,1",0.0,1006,27000.0
"O_SENT,3,1,4,1,1",W_Call_after_offer,"W_Call_after_offer,4,1,4,1,1",-22.57,1006,27000.0
"W_Call_after_offer,4,1,4,1,1",O_SELECTED,"O_SELECTED,4,1,4,1,1",0.0,1006,27000.0
"O_SELECTED,4,1,4,1,1",O_CREATED,"O_CREATED,4,1,4,1,1",0.0,1006,27000.0
"O_CREATED,4,1,4,1,1",O_SENT,"O_SENT,4,1,5,1,1",0.0,1006,27000.0
"O_SENT,4,1,5,1,1",W_Call_after_offer,"W_Call_after_offer,5,1,5,1,1",-13.52,1006,27000.0
"W_Call_after_offer,5,1,5,1,1",O_SELECTED,"O_SELECTED,5,1,5,1,1",0.0,1006,27000.0
"O_SELECTED,5,1,5,1,1",O_CREATED,"O_CREATED,5,1,5,1,1",0.0,1006,27000.0
"O_CREATED,5,1,5,1,1",O_SENT,"O_SENT,5,1,6,1,1",0.0,1006,27000.0
"O_SENT,5,1,6,1,1",W_Call_after_offer,"W_Call_after_offer,6,1,6,1,1",-0.2,1006,27000.0
"W_Call_after_offer,6,1,6,1,1",O_SELECTED,"O_SELECTED,6,1,6,1,1",0.0,1006,27000.0
"O_SELECTED,6,1,6,1,1",O_CREATED,"O_CREATED,6,1,6,1,1",0.0,1006,27000.0
"O_CREATED,6,1,6,1,1",O_SENT,"O_SENT,6,1,7,1,1",0.0,1006,27000.0
"O_SENT,6,1,7,1,1",W_Call_after_offer,"W_Call_after_offer,7,1,7,1,1",-17.42,1006,27000.0
"W_Call_after_offer,7,1,7,1,1",O_CANCELLED,"O_CANCELLED,7,1,7,1,1",0.0,1006,27000.0
"O_CANCELLED,7,1,7,1,1",O_ACCEPTED,"O_ACCEPTED,7,1,7,1,1",0.0,1006,27000.0
"O_ACCEPTED,7,1,7,1,1",A_APPROVED,"A_APPROVED,7,1,7,1,1",0.0,1006,27000.0
"A_APPROVED,7,1,7,1,1",A_REGISTERED,"A_REGISTERED,7,1,7,1,1",0.0,1006,27000.0
"A_REGISTERED,7,1,7,1,1",A_ACTIVATED,"A_ACTIVATED,7,1,7,1,1",0.0,1006,27000.0
"A_ACTIVATED,7,1,7,1,1",END,END,4050.0,1006,27000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1007,17000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1007,17000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,1007,17000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-6.85,1007,17000.0
"W_Complete_preaccepted_appl,0,0,0,0,0",A_ACCEPTED,"A_ACCEPTED,0,0,0,0,0",0.0,1007,17000.0
"A_ACCEPTED,0,0,0,0,0",A_FINALIZED,"A_FINALIZED,0,0,0,0,0",0.0,1007,17000.0
"A_FINALIZED,0,0,0,0,0",O_SELECTED,"O_SELECTED,0,0,0,0,0",0.0,1007,17000.0
"O_SELECTED,0,0,0,0,0",O_CREATED,"O_CREATED,0,0,0,0,0",0.0,1007,17000.0
"O_CREATED,0,0,0,0,0",O_SENT,"O_SENT,0,0,1,0,0",0.0,1007,17000.0
"O_SENT,0,0,1,0,0",W_Call_after_offer,"W_Call_after_offer,1,0,1,0,0",-16.45,1007,17000.0
"W_Call_after_offer,1,0,1,0,0",O_SELECTED,"O_SELECTED,1,0,1,0,0",0.0,1007,17000.0
"O_SELECTED,1,0,1,0,0",O_CREATED,"O_CREATED,1,0,1,0,0",0.0,1007,17000.0
"O_CREATED,1,0,1,0,0",O_SENT,"O_SENT,1,0,2,0,0",0.0,1007,17000.0
"O_SENT,1,0,2,0,0",W_Call_after_offer,"W_Call_after_offer,2,0,2,0,0",-31.98,1007,17000.0
"W_Call_after_offer,2,0,2,0,0",O_SENT_BACK,"O_SENT_BACK,2,0,2,1,0",0.0,1007,17000.0
"O_SENT_BACK,2,0,2,1,0",W_Assess_application,"W_Assess_application,2,0,2,1,0",-12.09,1007,17000.0
"W_Assess_application,2,0,2,1,0",W_Call_missing_information,"W_Call_missing_information,2,1,2,1,0",-22.84,1007,17000.0
"W_Call_missing_information,2,1,2,1,0",O_CANCELLED,"O_CANCELLED,2,1,2,1,0",0.0,1007,17000.0
"O_CANCELLED,2,1,2,1,0",O_SELECTED,"O_SELECTED,2,1,2,1,0",0.0,1007,17000.0
"O_SELECTED,2,1,2,1,0",O_CREATED,"O_CREATED,2,1,2,1,0",0.0,1007,17000.0
"O_CREATED,2,1,2,1,0",O_SENT,"O_SENT,2,1,3,1,0",0.0,1007,17000.0
"O_SENT,2,1,3,1,0",W_Call_after_offer,"W_Call_after_offer,3,1,3,1,0",-5.83,1007,17000.0
"W_Call_after_offer,3,1,3,1,0",O_SELECTED,"O_SELECTED,3,1,3,1,0",0.0,1007,17000.0
"O_SELECTED,3,1,3,1,0",O_CREATED,"O_CREATED,3,1,3,1,0",0.0,1007,17000.0
"O_CREATED,3,1,3,1,0",O_SENT,"O_SENT,3,1,4,1,0",0.0,1007,17000.0
"O_SENT,3,1,4,1,0",W_Call_after_offer,"W_Call_after_offer,4,1,4,1,0",-0.06,1007,17000.0
"W_Call_after_offer,4,1,4,1,0",O_CANCELLED,"O_CANCELLED,4,1,4,1,0",0.0,1007,17000.0
"O_CANCELLED,4,1,4,1,0",O_SELECTED,"O_SELECTED,4,1,4,1,0",0.0,1007,17000.0
"O_SELECTED,4,1,4,1,0",O_CREATED,"O_CREATED,4,1,4,1,0",0.0,1007,17000.0
"O_CREATED,4,1,4,1,0",O_SENT,"O_SENT,4,1,5,1,0",0.0,1007,17000.0
"O_SENT,4,1,5,1,0",W_Call_after_offer,"W_Call_after_offer,5,1,5,1,0",-2.5,1007,17000.0
"W_Call_after_offer,5,1,5,1,0",O_SELECTED,"O_SELECTED,5,1,5,1,0",0.0,1007,17000.0
"O_SELECTED,5,1,5,1,0",O_CREATED,"O_CREATED,5,1,5,1,0",0.0,1007,17000.0
"O_CREATED,5,1,5,1,0",O_SENT,"O_SENT,5,1,6,1,0",0.0,1007,17000.0
"O_SENT,5,1,6,1,0",W_Call_after_offer,"W_Call_after_offer,6,1,6,1,0",-23.23,1007,17000.0
"W_Call_after_offer,6,1,6,1,0",O_SELECTED,"O_SELECTED,6,1,6,1,0",0.0,1007,17000.0
"O_SELECTED,6,1,6,1,0",O_CREATED,"O_CREATED,6,1,6,1,0",0.0,1007,17000.0
"O_CREATED,6,1,6,1,0",O_SENT,"O_SENT,6,1,7,1,0",0.0,1007,17000.0
"O_SENT,6,1,7,1,0",W_Call_after_offer,"W_Call_after_offer,7,1,7,1,0",-7.15,1007,17000.0
"W_Call_after_offer,7,1,7,1,0",O_SELECTED,"O_SELECTED,7,1,7,1,0",0.0,1007,17000.0
"O_SELECTED,7,1,7,1,0",O_CREATED,"O_CREATED,7,1,7,1,0",0.0,1007,17000.0
"O_CREATED,7,1,7,1,0",O_SENT,"O_SENT,7,1,8,1,0",0.0,1007,17000.0
"O_SENT,7,1,8,1,0",W_Call_after_offer,"W_Call_after_offer,8,1,8,1,0",-5.78,1007,17000.0
"W_Call_after_offer,8,1,8,1,0",O_SELECTED,"O_SELECTED,8,1,8,1,0",0.0,1007,17000.0
"O_SELECTED,8,1,8,1,0",O_CREATED,"O_CREATED,8,1,8,1,0",0.0,1007,17000.0
"O_CREATED,8,1,8,1,0",O_SENT,"O_SENT,8,1,9,1,0",0.0,1007,17000.0
"O_SENT,8,1,9,1,0",O_SELECTED,"O_SELECTED,8,1,9,1,0",0.0,1007,17000.0
"O_SELECTED,8,1,9,1,0",O_CREATED,"O_CREATED,8,1,9,1,0",0.0,1007,17000.0
"O_CREATED,8,1,9,1,0",O_SENT,"O_SENT,8,1,10,1,0",0.0,1007,17000.0
"O_SENT,8,1,10,1,0",O_SELECTED,"O_SELECTED,8,1,10,1,0",0.0,1007,17000.0
"O_SELECTED,8,1,10,1,0",O_CREATED,"O_CREATED,8,1,10,1,0",0.0,1007,17000.0
"O_CREATED,8,1,10,1,0",O_SENT,"O_SENT,8,1,11,1,0",0.0,1007,17000.0
"O_SENT,8,1,11,1,0",W_Call_after_offer,"W_Call_after_offer,9,1,11,1,0",-6.03,1007,17000.0
"W_Call_after_offer,9,1,11,1,0",O_CANCELLED,"O_CANCELLED,9,1,11,1,0",0.0,1007,17000.0
"O_CANCELLED,9,1,11,1,0",O_ACCEPTED,"O_ACCEPTED,9,1,11,1,0",0.0,1007,17000.0
"O_ACCEPTED,9,1,11,1,0",A_APPROVED,"A_APPROVED,9,1,11,1,0",0.0,1007,17000.0
"A_APPROVED,9,1,11,1,0",A_REGISTERED,"A_REGISTERED,9,1,11,1,0",0.0,1007,17000.0
"A_REGISTERED,9,1,11,1,0",A_ACTIVATED,"A_ACTIVATED,9,1,11,1,0",0.0,1007,17000.0
"A_ACTIVATED,9,1,11,1,0",END,END,2550.0,1007,17000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1008,10000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1008,10000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-1.86,1008,10000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_DECLINED,"A_DECLINED,0,0,0,0,1",0.0,1008,10000.0
"A_DECLINED,0,0,0,0,1",END,END,0.0,1008,10000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,1009,15000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,1009,15000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",W_Fix_incomplete_submission,"W_Fix_incomplete_submission,0,0,0,0,1",-24.08,1009,15000.0
"W_Fix_incomplete_submission,0,0,0,0,1",A_DECLINED,"A_DECLINED,0,0,0,0,1",0.0,1009,15000.0
"A_DECLINED,0,0,0,0,1",END,END,0.0,1009,15000.0
START,A_SUBMITTED,"A_SUBMITTED,0,0,0,0,0",0.0,101,10000.0
"A_SUBMITTED,0,0,0,0,0",A_PARTLYSUBMITTED,"A_PARTLYSUBMITTED,0,0,0,0,0",0.0,101,10000.0
"A_PARTLYSUBMITTED,0,0,0,0,0",A_PREACCEPTED,"A_PREACCEPTED,0,0,0,0,0",0.0,101,10000.0
"A_PREACCEPTED,0,0,0,0,0",W_Complete_preaccepted_appl,"W_Complete_preaccepted_appl,0,0,0,0,0",-6.41,101,10000.0
